datetime,road_type,all_motor_vehicles,hour,day_of_week,month,is_weekend,year,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_2,lag_3,lag_24,rolling_mean_3,rolling_std_3,road_type_encoded
2003-03-20 17:00:00+00:00,Major,1592,17,3,3,0,2003,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1481.0,1229.0,935.0,2237.0,1215.0,273.2690981434373,1
2003-03-20 17:00:00+00:00,Minor,184,17,3,3,0,2003,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,152.0,163.0,156.0,762.0,157.0,5.567764362961776,0
2003-03-20 18:00:00+00:00,Major,1247,18,3,3,0,2003,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1592.0,1481.0,1229.0,2168.0,1434.0,186.00806434163482,1
2003-03-20 18:00:00+00:00,Minor,94,18,3,3,0,2003,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,184.0,152.0,163.0,628.0,166.33333333333334,16.258331197720864,0
2003-03-21 07:00:00+00:00,Major,1861,7,4,3,0,2003,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1247.0,1592.0,1481.0,5346.0,1440.0,176.11643875607297,1
2003-03-21 07:00:00+00:00,Minor,688,7,4,3,0,2003,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,94.0,184.0,152.0,468.0,143.33333333333334,45.62163229581802,0
2003-03-21 08:00:00+00:00,Minor,916,8,4,3,0,2003,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,688.0,94.0,184.0,638.0,322.0,320.14371772690026,0
2003-03-21 08:00:00+00:00,Major,1768,8,4,3,0,2003,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,1861.0,1247.0,1592.0,6055.0,1566.6666666666667,307.7829321672201,1
2003-03-21 09:00:00+00:00,Major,1734,9,4,3,0,2003,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,1768.0,1861.0,1247.0,4722.0,1625.3333333333333,330.92949903786166,1
2003-03-21 09:00:00+00:00,Minor,824,9,4,3,0,2003,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,916.0,688.0,94.0,564.0,566.0,424.36305211457886,0
2003-03-21 10:00:00+00:00,Major,1440,10,4,3,0,2003,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1734.0,1768.0,1861.0,4451.0,1787.6666666666667,65.74445477335546,1
2003-03-21 10:00:00+00:00,Minor,691,10,4,3,0,2003,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,824.0,916.0,688.0,458.0,809.3333333333334,114.70541980801809,0
2003-03-21 11:00:00+00:00,Major,1726,11,4,3,0,2003,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1440.0,1734.0,1768.0,4504.0,1647.3333333333333,180.358901453323,1
2003-03-21 11:00:00+00:00,Minor,703,11,4,3,0,2003,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,691.0,824.0,916.0,512.0,810.3333333333334,113.12087929879995,0
2003-03-21 12:00:00+00:00,Major,1486,12,4,3,0,2003,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1726.0,1440.0,1734.0,4543.0,1633.3333333333333,167.47935196151747,1
2003-03-21 12:00:00+00:00,Minor,1083,12,4,3,0,2003,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,703.0,691.0,824.0,512.0,739.3333333333334,73.56856212631722,0
2003-03-21 13:00:00+00:00,Major,1716,13,4,3,0,2003,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,1486.0,1726.0,1440.0,4401.0,1550.6666666666667,153.5751716048269,1
2003-03-21 13:00:00+00:00,Minor,732,13,4,3,0,2003,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,1083.0,703.0,691.0,524.0,825.6666666666666,222.9379584847175,0
2003-03-21 14:00:00+00:00,Minor,912,14,4,3,0,2003,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,732.0,1083.0,703.0,542.0,839.3333333333334,211.5191086718493,0
2003-03-21 14:00:00+00:00,Major,1782,14,4,3,0,2003,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,1716.0,1486.0,1726.0,4638.0,1642.6666666666667,135.76941236320354,1
2003-03-21 15:00:00+00:00,Minor,815,15,4,3,0,2003,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,912.0,732.0,1083.0,605.0,909.0,175.51922971572128,0
2003-03-21 15:00:00+00:00,Major,1735,15,4,3,0,2003,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,1782.0,1716.0,1486.0,4902.0,1661.3333333333333,155.3876872002705,1
2003-03-21 16:00:00+00:00,Major,1903,16,4,3,0,2003,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1735.0,1782.0,1716.0,5220.0,1744.3333333333333,33.975481357104,1
2003-03-21 16:00:00+00:00,Minor,924,16,4,3,0,2003,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,815.0,912.0,732.0,767.0,819.6666666666666,90.09069504301554,0
2003-03-21 17:00:00+00:00,Major,1889,17,4,3,0,2003,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1903.0,1735.0,1782.0,6165.0,1806.6666666666667,86.67371766253761,1
2003-03-21 17:00:00+00:00,Minor,885,17,4,3,0,2003,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,924.0,815.0,912.0,693.0,883.6666666666666,59.76899976855481,0
2003-03-21 18:00:00+00:00,Major,2062,18,4,3,0,2003,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1889.0,1903.0,1735.0,4342.0,1842.3333333333333,93.21659365930695,1
2003-03-21 18:00:00+00:00,Minor,753,18,4,3,0,2003,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,885.0,924.0,815.0,586.0,874.6666666666666,55.22982286168879,0
2003-03-24 07:00:00+00:00,Major,1191,7,0,3,0,2003,0.9659258262890683,-0.25881904510252063,0.0,1.0,2062.0,1889.0,1903.0,1188.0,1951.3333333333333,96.09543867136186,1
2003-03-24 07:00:00+00:00,Minor,350,7,0,3,0,2003,0.9659258262890683,-0.25881904510252063,0.0,1.0,753.0,885.0,924.0,102.0,854.0,89.61584681293941,0
2003-03-24 08:00:00+00:00,Major,1633,8,0,3,0,2003,0.8660254037844387,-0.4999999999999998,0.0,1.0,1191.0,2062.0,1889.0,1487.0,1714.0,461.1171217815648,1
2003-03-24 08:00:00+00:00,Minor,603,8,0,3,0,2003,0.8660254037844387,-0.4999999999999998,0.0,1.0,350.0,753.0,885.0,203.0,662.6666666666666,278.7047422153665,0
2003-03-24 09:00:00+00:00,Major,1158,9,0,3,0,2003,0.7071067811865476,-0.7071067811865475,0.0,1.0,1633.0,1191.0,2062.0,1140.0,1628.6666666666667,435.51616885421146,1
2003-03-24 09:00:00+00:00,Minor,366,9,0,3,0,2003,0.7071067811865476,-0.7071067811865475,0.0,1.0,603.0,350.0,753.0,204.0,568.6666666666666,203.6819415984983,0
2003-03-24 10:00:00+00:00,Minor,323,10,0,3,0,2003,0.49999999999999994,-0.8660254037844387,0.0,1.0,366.0,603.0,350.0,110.0,439.6666666666667,141.67686237821025,0
2003-03-24 10:00:00+00:00,Major,813,10,0,3,0,2003,0.49999999999999994,-0.8660254037844387,0.0,1.0,1158.0,1633.0,1191.0,857.0,1327.3333333333333,265.2288320176711,1
2003-03-24 11:00:00+00:00,Major,881,11,0,3,0,2003,0.258819045102521,-0.9659258262890682,0.0,1.0,813.0,1158.0,1633.0,834.0,1201.3333333333333,411.7138974257018,1
2003-03-24 11:00:00+00:00,Minor,320,11,0,3,0,2003,0.258819045102521,-0.9659258262890682,0.0,1.0,323.0,366.0,603.0,127.0,430.6666666666667,150.78571992511206,0
2003-03-24 12:00:00+00:00,Major,1000,12,0,3,0,2003,1.2246467991473532e-16,-1.0,0.0,1.0,881.0,813.0,1158.0,894.0,950.6666666666666,182.74663699632868,1
