datetime,all_motor_vehicles,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_2,lag_3,lag_24,rolling_mean_3,rolling_std_3
2017-09-19 10:00:00+00:00,448,10,1,9,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,640.0,1014.0,633.0,5406.0,762.3333333333334,217.97782761893114
2017-09-19 11:00:00+00:00,404,11,1,9,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,448.0,640.0,1014.0,5705.0,700.6666666666666,287.83560122658565
2017-09-19 12:00:00+00:00,505,12,1,9,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,404.0,448.0,640.0,6157.0,497.3333333333333,125.49634788899327
2017-09-19 13:00:00+00:00,461,13,1,9,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,505.0,404.0,448.0,6372.0,452.3333333333333,50.639246967903965
2017-09-19 14:00:00+00:00,550,14,1,9,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,461.0,505.0,404.0,6880.0,456.6666666666667,50.63924696790288
2017-09-19 15:00:00+00:00,837,15,1,9,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,550.0,461.0,505.0,7268.0,505.3333333333333,44.500936321329476
2017-09-19 16:00:00+00:00,700,16,1,9,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,837.0,550.0,461.0,7194.0,616.0,196.4968193130333
2017-09-19 17:00:00+00:00,932,17,1,9,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,700.0,837.0,550.0,5679.0,695.6666666666666,143.54906246113265
2017-09-19 18:00:00+00:00,811,18,1,9,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,932.0,700.0,837.0,6498.0,823.0,116.63189958211939
2017-09-20 07:00:00+00:00,2409,7,2,9,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,811.0,932.0,700.0,152.0,814.3333333333334,116.03591398126329
2017-09-20 08:00:00+00:00,2881,8,2,9,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2409.0,811.0,932.0,282.0,1384.0,889.7353539115545
2017-09-20 09:00:00+00:00,2272,9,2,9,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,2881.0,2409.0,811.0,205.0,2033.6666666666667,1084.8416167042246
2017-09-20 10:00:00+00:00,1916,10,2,9,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,2272.0,2881.0,2409.0,167.0,2520.6666666666665,319.48761061021287
2017-09-20 11:00:00+00:00,1847,11,2,9,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,1916.0,2272.0,2881.0,224.0,2356.3333333333335,487.9962431550345
2017-09-20 12:00:00+00:00,2098,12,2,9,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1847.0,1916.0,2272.0,194.0,2011.6666666666667,228.07966444520434
2017-09-20 13:00:00+00:00,2424,13,2,9,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,2098.0,1847.0,1916.0,209.0,1953.6666666666667,129.67009421388804
2017-09-20 14:00:00+00:00,2326,14,2,9,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,2424.0,2098.0,1847.0,211.0,2123.0,289.3112510776251
2017-09-20 15:00:00+00:00,2348,15,2,9,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,2326.0,2424.0,2098.0,266.0,2282.6666666666665,167.26426197317113
2017-09-20 16:00:00+00:00,2482,16,2,9,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,2348.0,2326.0,2424.0,275.0,2366.0,51.41984052964413
2017-09-20 17:00:00+00:00,2583,17,2,9,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,2482.0,2348.0,2326.0,312.0,2385.3333333333335,84.43537963097477
2017-09-20 18:00:00+00:00,2420,18,2,9,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,2583.0,2482.0,2348.0,197.0,2471.0,117.88553770539943
2017-09-21 07:00:00+00:00,3396,7,3,9,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,2420.0,2583.0,2482.0,633.0,2495.0,82.27393268885652
2017-09-21 08:00:00+00:00,3421,8,3,9,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,3396.0,2420.0,2583.0,1014.0,2799.6666666666665,522.831075332574
2017-09-21 09:00:00+00:00,3503,9,3,9,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,3421.0,3396.0,2420.0,640.0,3079.0,570.8476153931754
2017-09-21 10:00:00+00:00,2648,10,3,9,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,3503.0,3421.0,3396.0,448.0,3440.0,55.973207877205475
2017-09-21 11:00:00+00:00,2401,11,3,9,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,2648.0,3503.0,3421.0,404.0,3190.6666666666665,471.7481672814479
2017-09-21 12:00:00+00:00,2619,12,3,9,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,2401.0,2648.0,3503.0,505.0,2850.6666666666665,578.2787678390191
2017-09-21 13:00:00+00:00,2704,13,3,9,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,2619.0,2401.0,2648.0,461.0,2556.0,135.01481400234857
2017-09-21 14:00:00+00:00,2713,14,3,9,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,2704.0,2619.0,2401.0,550.0,2574.6666666666665,156.28926173420112
2017-09-21 15:00:00+00:00,3091,15,3,9,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,2713.0,2704.0,2619.0,837.0,2678.6666666666665,51.86842327870406
2017-09-21 16:00:00+00:00,2984,16,3,9,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,3091.0,2713.0,2704.0,700.0,2836.0,220.88232161058338
2017-09-21 17:00:00+00:00,2385,17,3,9,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,2984.0,3091.0,2713.0,932.0,2929.3333333333335,194.8392499816502
2017-09-21 18:00:00+00:00,2444,18,3,9,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,2385.0,2984.0,3091.0,811.0,2820.0,380.500985544166
